hour_of_day,member_casual,total_rides,total_ride_minutes,avg_ride_length
0,casual,38847,601687.0035998464,15.488634993689253
0,member,32451,360383.01993292174,11.105451910046586
1,casual,24892,393828.8641834935,15.821503462296862
1,member,19975,221979.76486640374,11.11287934249831
2,casual,16634,257014.45130015214,15.451151334624994
2,member,12007,134277.69520045517,11.183284350833278
3,casual,9183,137200.34075012605,14.940688309934233
3,member,7941,93118.05495010615,11.726237873077213
4,casual,7271,98929.98651676178,13.606104595896271
4,member,8878,95301.48479978244,10.734566884408926
5,casual,11408,159678.85718350808,13.997094774150428
5,member,34201,366137.9209164858,10.705474135741229
6,casual,26523,345784.95788336196,13.03717369390197
6,member,100906,1107386.5062663236,10.974436666465063
7,casual,49547,673831.6227333585,13.599847069113338
7,member,199688,2198401.3626500526,11.009181135822146
8,casual,70313,1041073.3701668978,14.806271531109436
8,member,256538,2801820.9877165477,10.92166068074339
9,casual,70689,1395266.6878667553,19.738101937596447
9,member,167126,1795116.2128509681,10.741094819782488
10,casual,85418,1983167.8292329153,23.217212171122192
10,member,143699,1674801.775034042,11.654929923200871
11,casual,109330,2546478.390932751,23.29167100459847
11,member,168758,2030181.5074501396,12.03013491182723
12,casual,128516,2872201.9423998394,22.348983335925794
12,member,190575,2213745.1726837438,11.616136285891349
13,casual,131674,2953596.3194511333,22.43112778111953
13,member,185299,2202731.7911669533,11.88744564820616
14,casual,138529,3065285.873833867,22.12739479700183
14,member,188233,2330756.7537013055,12.382296163272676
15,casual,153911,3173783.1389506063,20.62089869437926
15,member,236970,2939631.147333173,12.405077213711326
16,casual,175326,3359114.9711170434,19.159251743135894
16,member,334185,4233347.052734315,12.667675247944448
17,casual,190219,3510869.5595824244,18.45698673414551
17,member,381720,4916757.941349149,12.880535317377001
18,casual,163419,2929002.8667995455,17.923270040812547
18,member,295816,3682711.927917254,12.449333125717521
19,casual,121493,2149628.44226741,17.693434537524055
19,member,204694,2483910.9771668753,12.134752250514794
20,casual,87724,1489259.4444000602,16.97664771784301
20,member,141458,1695895.6930843075,11.988687052583153
21,casual,74873,1233345.600417467,16.47250144134023
21,member,110585,1319236.1545490623,11.92961210425521
22,casual,63226,1030375.8736997684,16.29671137980844
22,member,80629,957231.6225840171,11.872051279118148
23,casual,45809,763851.2018998702,16.67469715339497
23,member,50221,606660.4849999269,12.07981690925961
